Checking 49 routes at http://localhost:3000

[  1/49]  ok  /  (1170ms)
[  2/49]  ok  /about  (1084ms)
[  3/49]  ok  /areas  (1094ms)
[  4/49]  ok  /cafe-restaurant-space-sector-144-noida  (1118ms)
[  5/49]  ok  /contact  (1097ms)
[  6/49]  ok  /flats-sector-143-noida  (1097ms)
[  7/49]  ok  /guides  (1039ms)
[  8/49]  ok  /guides/circle-rates-noida  (1073ms)
[  9/49]  ok  /guides/commercial-lease-basics  (1055ms)
[ 10/49]  ok  /guides/leasehold-freehold-noida-authority-transfer  (1080ms)
[ 11/49]  ok  /guides/open-cafe-restaurant-noida  (1054ms)
[ 12/49]  ok  /guides/rent-out-flat-noida  (1061ms)
[ 13/49]  ok  /guides/selling-property-noida-process  (1064ms)
[ 14/49]  ok  /guides/stamp-duty-registration-noida  (1063ms)
[ 15/49]  ok  /guides/verify-property-documents-up  (1042ms)
[ 16/49]  ok  /kothi-plots-sector-105-noida  (1111ms)
[ 17/49]  ok  /kothi-plots-sector-108-noida  (1110ms)
[ 18/49]  ok  /listings  (1812ms)
[ 19/49]  ok  /office-space-sector-132-noida  (1104ms)
[ 20/49]  ok  /office-space-sector-135-noida  (1113ms)
[ 21/49]  ok  /office-space-sector-144-noida  (1096ms)
[ 22/49]  ok  /pg-space-noida-expressway  (1090ms)
[ 23/49]  ok  /plots-sector-145-noida  (1108ms)
[ 24/49]  ok  /privacy  (1047ms)
[ 25/49]  ok  /property-dealer-noida-expressway  (1080ms)
[ 26/49]  ok  /sectors  (1072ms)
[ 27/49]  ok  /sectors/sector-105-noida  (1111ms)
[ 28/49]  ok  /sectors/sector-108-noida  (1071ms)
[ 29/49]  ok  /sectors/sector-130-noida  (1097ms)
[ 30/49]  ok  /sectors/sector-132-noida  (1098ms)
[ 31/49]  ok  /sectors/sector-135-noida  (1092ms)
[ 32/49]  ok  /sectors/sector-141-noida  (1110ms)
[ 33/49]  ok  /sectors/sector-143-noida  (1078ms)
[ 34/49]  ok  /sectors/sector-144-noida  (1080ms)
[ 35/49]  ok  /sectors/sector-145-noida  (1090ms)
[ 36/49]  ok  /sectors/sector-151-noida  (1107ms)
[ 37/49]  ok  /sectors/sector-99-noida  (1089ms)
[ 38/49]  ok  /services  (1034ms)
[ 39/49]  ok  /services/buy-property-noida  (1048ms)
[ 40/49]  ok  /services/cafe-restaurant-spaces-noida  (1093ms)
[ 41/49]  ok  /services/commercial-buy-sell-noida  (1077ms)
[ 42/49]  ok  /services/commercial-leasing-noida  (1065ms)
[ 43/49]  ok  /services/corporate-brand-requirements-noida  (1070ms)
[ 44/49]  ok  /services/industrial-spaces-noida  (1050ms)
[ 45/49]  ok  /services/pg-spaces-noida  (1061ms)
[ 46/49]  ok  /services/residential-renting-noida  (1063ms)
[ 47/49]  ok  /services/sell-property-noida  (1035ms)
[ 48/49]  ok  /shops-retail-sector-132-noida  (1085ms)
[ 49/49]  ok  /admin/login  (1049ms)

Checking every internal link target resolves …

Routes checked: 49
Internal link targets checked: 49
Unique titles: 49   Unique descriptions: 49

No problems found.
